"criterion";"value";"K"
"1";"-2 Loglik.";2041.83067508673;2
"2";"AIC";2055.83067508673;2
"3";"BIC";2094.02585697296;2
"4";"ICL";2301.27182867803;2
"5";"-2 Loglik.";1208.13194231751;3
"6";"AIC";1236.13194231751;3
"7";"BIC";1312.52230608998;3
"8";"ICL";1534.20146510751;3
"9";"-2 Loglik.";740.377630595814;4
"10";"AIC";786.377630595814;4
"11";"BIC";911.876085364867;4
"12";"ICL";1124.26321584411;4
"13";"-2 Loglik.";375.553593614112;5
"14";"AIC";443.553593614112;5
"15";"BIC";629.073048490103;5
"16";"ICL";947.261576700457;5
"17";"-2 Loglik.";65.5673401084149;6
"18";"AIC";159.567340108415;6
"19";"BIC";416.020704201697;6
"20";"ICL";764.716106913064;6
"21";"-2 Loglik.";-161.498939633396;7
"22";"AIC";-37.4989396333964;7
"23";"BIC";300.801242787529;7
"24";"ICL";686.009375167704;7
"25";"-2 Loglik.";-319.172635936432;8
"26";"AIC";-161.172635936432;8
"27";"BIC";269.887273922489;8
"28";"ICL";663.83025973989;8
"29";"-2 Loglik.";-470.923684813134;9
"30";"AIC";-274.923684813134;9
"31";"BIC";259.808861594134;9
"32";"ICL";672.300036367951;9
"33";"-2 Loglik.";-609.869106729913;10
"34";"AIC";-371.869106729913;10
"35";"BIC";277.448985336056;10
"36";"ICL";687.801809459982;10
