"Ant x Plant association matrix from Blüthgen et al. (2004) Oikos 106: 344-358. Counts of ant colonies attending extrafloral (EFN) and floral nectaries (FN) are provided. Independent abundance estimates for ant colonies based on sugar bait experiment, see Blüthgen & Fiedler (2004) J. Anim. Ecol. 73: 155-166. Ants with abundance = 0 were not recorded during bait experiments. For plants, number of plant individuals on which any insect were recorded on nectaries given as abundance estimate. Plant life forms: cl = climber, he = herb, sh = shrub, tr = tree, pa = palm.",,,Plant spp.,Adenia heterophylla,Aleurites rockinghamensis,Archontophoenix alexandrae,Archontophoenix alexandrae,Ardisia pachyrrhachis,Ardisia pachyrrhachis,Cardwellia sublimis,Castanospermum australe,Clerodendrum tracyanum,Crotalaria sp.,Cryptocarya hypospodia,Cryptocarya murrayi,Dysoxylum pettigrewianum,Dysoxylum mollissimum subsp. molle,Dysoxylum papuanum,Elaeocarpus angustifolius,Embelia caulialata,Endospermum myrmecophilum,Entada phaseoloides,Euodia sp.,Ficus septica,Flagellaria indica,Glochidion philippicum,Homalanthus novoguineensis,Ichnocarpus frutescens,Ipomoea indica,Jasminum didymum,Licuala ramsayi,Macaranga involucrata subsp. mallotoides,Macaranga tanarius,Mallotus mollissimus,Mallotus paniculatus,Merremia peltata,Mucuna gigantea,Neosepicaea jucunda,Normanbya normanbyi,Pachygone longifolia,Passiflora sp. indet.,Rockinghamia angustifolia,Rockinghamia angustifolia,unidentified liana,Smilax cf. australis,Stephania japonica,Syzygium ‘erythrocalyx’,Syzygium cormiflorum,Syzygium gustavioides,Syzygium sayeri,Toona ciliata,Trichosanthes pentaphylla,Urena lobata,Wrightia laevis subsp. millgar
,,,Family,Passifloraceae,Euphorbiaceae,Arecaceae,Arecaceae,Myrsinaceae,Myrsinaceae,Proteaceae,Fabaceae s.l.,Lamiaceae,Fabaceae,Lauraceae,Lauraceae,Meliaceae,Meliaceae,Meliaceae,Elaeocarpaceae,Myrsinaceae,Euphorbiaceae,Fabaceae s.l.,Rutaceae,Moraceae,Flagellariaceae,Euphorbiaceae,Euphorbiaceae,Asclepiadaceae,Convolvulaceae,Oleaceae,Arecaceae,Euphorbiaceae,Euphorbiaceae,Euphorbiaceae,Euphorbiaceae,Convolvulaceae,Fabaceae,Bignoniaceae,Arecaceae,Menispermaceae,Passifloraceae,Euphorbiaceae,Euphorbiaceae,Rutaceae?,Smilacaceae,Menispermaceae,Myrtaceae,Myrtaceae,Myrtaceae,Myrtaceae,Meliaceae,Cucurbitaceae,Malvaceae,Asclepiadaceae
,,,Nectaries,EFN,EFN,EFN,FN,EFN,FN,EFN,EFN,EFN,EFN,FN,FN,EFN,FN,FN,FN,FN,EFN,EFN+FN,EFN,EFN,EFN,EFN,EFN,EFN,EFN,FN,FN,EFN,EFN,EFN,EFN,EFN,EFN,FN,FN,FN,EFN,EFN,FN,FN,EFN,FN,EFN,EFN,EFN,EFN,FN,EFN,EFN,EFN
,,,Life form,cl,tr,pa,pa,sh,sh,tr,tr,sh,hr,tr,tr,tr,sh,tr,tr,cl,tr,cl,tr,sh,cl,tr,sh,cl,cl,cl,pa,sh,sh,sh,sh,cl,cl,cl,pa,cl,cl,tr,tr,cl,cl,cl,tr,tr,tr,tr,tr,cl,he,tr
,,Abundance ð,,4,1,1,3,17,1,4,4,5,1,1,4,9,1,2,3,1,11,27,2,4,79,1,28,9,19,1,6,45,3,4,1,67,1,1,12,3,1,7,1,1,6,1,14,1,1,1,1,2,1,2
Ant spp.,Subfamily,ò,Total,4,1,1,4,29,1,7,11,6,1,1,18,15,1,2,5,1,12,36,2,4,97,5,42,17,28,3,12,77,3,6,1,109,3,1,17,3,3,9,2,2,6,1,19,1,2,3,1,3,1,5
Anonychomyrma gilberti,Dolichoderinae,48,63,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,2,1,0,8,0,0,12,1,3,3,0,0,1,4,0,0,0,10,0,0,0,0,0,2,0,0,0,0,8,0,1,1,0,0,0,0
"Camponotus spp. 'nocturnal' (novae-hollandiae gp., macrocephalus)",Formicinae,88,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vitreus,Formicinae,21,23,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,7,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Camponotus sp.1 (macrocephalus gp.),Formicinae,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus sp.6 (gasseri gp.),Formicinae,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crematogaster aff. fusca,Myrmicinae,40,81,0,0,0,0,6,1,0,2,1,0,0,1,2,0,0,0,0,1,4,0,3,17,1,3,1,6,1,0,6,0,2,0,12,0,0,1,0,0,2,0,0,1,0,4,0,0,0,0,2,0,1
Crematogaster aff. pythia,Myrmicinae,19,42,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,1,9,1,0,1,11,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
